pop,kinship,lon,lat,bio1,bio2,bio3,bio4,bio5,bio6,bio7,bio8,bio9,bio10,bio11,bio12,bio13,bio14,bio15,bio16,bio17,bio18,bio19
LiuJQ-MZL-2013-357,pdav-N,126.5409722,49.518,-1.458333254,12.86666679,23.91573715,1532.05127,23.70000076,-30.10000038,53.80000305,16.46666718,-21.10000038,16.46666718,-21.10000038,566,149,5,103.3743744,362,17,362,17

LiuJQ-MZL-2013-361,pdav-N,124.1177778,50.43052778,-1.062500119,14.9416666,26.4923172,1558.931885,25.39999962,-31,56.40000153,17.23333359,-21.01666641,17.23333359,-21.01666641,510,144,3,111.5378723,343,11,343,11

LiuJQ-MZL-2013-398,pdav-N,118.1725556,42.10461111,5.150000095,12.51666641,28.00149155,1222.640625,26.10000038,-18.60000038,44.70000076,19.48333359,-10.58333302,19.48333359,-10.58333302,420,127,1,117.6306992,295,5,295,5

LiuJQ-MZL-2013-422,mixed,111.7,40.93136111,3.779166698,13.14166641,28.63108063,1222.316162,25.20000076,-20.70000076,45.90000153,18.08333397,-12.11666679,18.08333397,-12.11666679,302,87,2,113.1439438,202,8,202,8

LiuJQ-MZL-2013-425,mixed,105.9248056,38.74583333,4.516666889,10.96666622,27.48538017,1075.492188,23.60000038,-16.29999924,39.90000153,15.71666718,-9.316666603,17.21666718,-9.316666603,241,61,1,96.94004059,147,4,144,4

LiuJQ-QTP-2013-102,Prot,92.93527778,29.03555556,6.862500191,12.04166698,41.95702744,607.5402222,19.20000076,-9.5,28.70000076,13.86666679,-1.083333373,13.86666679,-1.083333373,404,106,1,112.2969742,268,4,268,4

LiuJQ-QTP-2013-196,Prot,92.58152778,28.59327778,4.654166698,14.97499943,46.943573,615.6794434,18,-13.89999962,31.89999962,11.89999962,-3.199999809,11.89999962,-3.199999809,292,84,1,118.9858932,205,4,205,4

LiuJQ-QTP-2013-210,Prot,97.47755556,28.78761111,8.404166222,10.35833359,40.46224213,566.8271484,19.79999924,-5.800000191,25.59999847,14.80000019,2.466666698,14.80000019,1.050000072,1166,239,9,85.14528656,650,37,650,49

LJ,Prot,100.3666667,27.41666667,7.291666508,10.91666698,44.0188179,521.1474609,17.70000076,-7.099999905,24.80000114,13.35000038,1.299999952,13.35000038,0.599999964,770,148,8,72.69433594,383,36,383,39

LZQ-106,Prot,102.3541667,27.69965,10.50833321,11.11666679,45.56010818,490.1893616,20.70000076,-3.700000048,24.40000153,16.13333321,4.066666603,16.13333321,4.066666603,918,195,7,92.91707611,525,24,525,24

LZQ-117,Prot,101.2521667,27.96751667,12.34583378,11.77500057,46.91235352,502.3465881,22.89999962,-2.200000048,25.10000038,17.98333359,5.716666698,17.98333359,5.716666698,822,178,5,90.66824341,466,21,466,21

LZQ-81,Prot,104.1082,26.73855,10.3125,9.925000191,41.70167923,518.319519,20.60000038,-3.200000048,23.80000114,16.23333359,3.400000095,16.23333359,3.400000095,972,188,10,86.34065247,527,32,527,32

LZQ-98,Prot,102.8304167,27.15027778,12.67083359,9.925000191,42.78017044,499.3971558,22.39999962,-0.800000012,23.19999886,18.28333282,6.033333302,18.28333282,6.033333302,926,196,8,93.58171082,535,24,535,24

MaoKS-CX-2014-120,Prot,101.75279,27.56695,11.3791666,11.0583334,46.65963364,485.7256165,21.20000076,-2.5,23.70000076,16.83333397,4.966666698,16.83333397,4.966666698,887,194,5,93.21231842,511,20,511,20

MaoKS-CX-2014-188,Prot,96.6905,29.83564,1.316666722,12.53333378,42.1997757,648.0752563,14.60000038,-15.10000038,29.70000076,8.866666794,-6.816666603,8.866666794,-6.816666603,648,138,5,87.3862915,362,20,362,20

MaoKS-CX-2014-198,mixed,98.31017,29.56415,4.900000095,11.78333378,42.08333206,613.2143555,17.39999962,-10.60000038,28,12.03333282,-1.900000095,12.03333282,-2.916666746,623,135,4,85.18035126,345,20,345,20

MaoKS-CX-2014-204,mixed,98.84905,29.72997,3.991666555,12.0666666,42.19114304,624.5355835,16.5,-12.10000038,28.60000038,11.23333359,-4,11.23333359,-4,602,134,3,89.39421844,345,15,345,15

MaoKS-CX-2014-222,mixed,100.7648611,28.76525,5.550000191,12.66666698,43.82929611,595.1776123,17.60000038,-11.30000019,28.90000153,12.33333397,-2.166666746,12.33333397,-2.166666746,679,148,4,87.63357544,380,18,380,18

MaoKS-CX-2014-234,mixed,99.81702,28.98162,3.520833254,12.07499981,41.92708206,620.7929688,15.80000019,-13,28.79999924,10.66666698,-4.450000286,10.66666698,-4.450000286,618,137,3,87.41741943,347,17,347,17

MaoKS-CX-2014-253,Prot,99.0575,27.65932,12.76249981,10.39166737,42.41496658,535.4145508,23.20000076,-1.299999952,24.5,18.85000038,6.883333206,18.85000038,5.816666603,1084,193,13,66.85328674,511,54,511,90

MaoKS-CX-2014-32,mixed,102.0293,31.99135,9.6875,14.74166679,45.35897446,627.1367798,24.39999962,-8.100000381,32.5,16.88333321,1.48333323,16.88333321,1.48333323,653,129,2,86.45391083,326,11,326,11

MaoKS-CX-2014-44,mixed,102.1624694,31.21655556,8.754166603,12.32499981,40.81126022,637.5858765,22.39999962,-7.800000191,30.20000076,14.85000038,0.383333355,16.03333282,0.383333355,627,132,2,87.67477417,318,10,313,10

MaoKS-CX-2014-67,mixed,102.7278889,30.7982,8.962499619,11.45833302,39.78588104,613.166626,22.10000038,-6.699999809,28.79999924,14.83333302,0.916666508,16.10000038,0.916666508,716,141,4,82.2445755,354,18,346,18

MaoKS-CX-2014-99,mixed,101.5003806,29.71361944,6.195833206,13.27499962,44.69696808,607.1185913,18.70000076,-11,29.70000076,13.14999962,-1.666666627,13.14999962,-1.666666627,746,158,1,99.09520721,432,7,432,7

pda2,mixed,102.91,34.176,1.554166675,11.84166718,36.21304703,710.3118896,16.10000038,-16.60000038,32.70000076,9.400000572,-7.683333397,9.933333397,-7.683333397,660,126,2,86.91996002,351,11,342,11

pda4,mixed,107.324,34.276,11.51249981,9.091667175,27.4672718,880.9682617,27.79999924,-5.300000191,33.09999847,20.88333321,0.366666675,22.26666641,0.366666675,687,128,5,76.1234436,357,20,296,20

pro13,Prot,103.65,25.14,14.42083359,10.90833378,47.01867676,457.8232117,24.20000076,1,23.20000076,19.20000076,8.199999809,19.20000076,8.199999809,914,177,12,83.47466278,503,41,503,41

pro14,mixed,99.378,29.258,5.849999905,11.91666698,41.23413849,627.7123413,18.60000038,-10.30000019,28.90000153,13.01666737,-2.233333349,13.01666737,-2.233333349,604,136,3,88.12093353,341,16,341,16

pro9,mixed,98.557,31.767,6.779166698,14.8083334,45.7047348,653.0678101,21.39999962,-11,32.40000153,14.39999962,-1.599999905,14.39999962,-1.599999905,552,114,3,95.52306366,320,12,320,12

SS,pdav-N,124.4666667,44.13333333,5.170833111,11.54166698,23.26948929,1424.065063,27.5,-22.10000038,49.59999847,21.68333244,-13.53333378,21.68333244,-13.53333378,510,162,2,116.5632858,353,9,353,9

SYS,pdav-N,131.25,47.06666667,3.212500095,11.3083334,21.83075905,1513.328857,27.39999962,-24.39999962,51.79999924,20.64999962,-16.68333244,20.64999962,-16.68333244,559,131,4,95.66824341,339,17,339,17

xls,mixed,103.8333333,35.63333333,6.162499905,11.79166698,31.27762985,923.2578735,23.70000076,-14,37.70000076,15.73333359,-5.950000286,16.93333244,-5.950000286,445,93,1,87.74440765,245,7,235,7

ZLP20-02,Prot,102.2791472,28.80625556,11.4416666,10.61666679,41.30998611,543.6401978,22.89999962,-2.799999952,25.69999886,17.76666641,4.266666412,17.76666641,4.266666412,924,191,4,94.79458618,533,16,533,16

ZLP20-03,Prot,101.2531028,25.84286111,15.90416718,11.67500019,48.04526901,453.6140747,26,1.700000048,24.29999924,20.70000076,9.816666603,20.70000076,9.816666603,759,150,10,81.63588715,410,35,410,35

ZLP20-04,Prot,100.2423333,25.55144722,14.53333378,11.01666641,47.69119644,449.4508362,24.10000038,1,23.10000038,19.39999962,8.5,19.39999962,8.5,824,145,13,68.55430603,399,53,399,53

ZLP20-07,Prot,99.34420833,27.13961111,11.97500038,10.80000019,43.54838562,529.8863525,22.5,-2.299999952,24.79999924,17.63333321,6.099999905,18.14999962,5.183333397,925,149,13,60.5845871,390,57,387,92

ZLP20-08,Prot,95.96082778,29.76238889,6.916666508,11.33333302,40.91456223,610.1651611,19.5,-8.199999809,27.70000076,13.98333359,0.333333343,13.98333359,-0.949999988,830,168,5,88.19126892,462,22,462,24

ZLP20-09,mixed,98.88611111,28.466775,5.166666508,10.65000057,41.76470566,577.0431519,16.70000076,-8.800000191,25.5,11.91666698,-0.833333313,11.91666698,-2.066666603,623,120,8,66.91742706,290,35,290,37

ZLP20-10,mixed,97.55,29.43905278,2.879166603,11.54166698,40.92789459,624.09375,15.39999962,-12.80000019,28.20000076,10.08333302,-3.683333397,10.08333302,-5.066666603,742,153,7,82.63006592,404,28,404,31

ZLP20-15,Prot,93.93111111,29.17615,9.054166794,12.32499981,44.33453369,573.7296753,21.5,-6.300000191,27.79999924,15.69999981,1.566666484,15.69999981,1.566666484,638,134,2,94.97407532,366,9,366,9

ZLP20-16,Prot,93.01297222,30.00454722,4.420833111,12.14166641,39.6786499,670.1575928,17.89999962,-12.69999981,30.59999847,12.16666603,-4.300000191,12.16666603,-4.300000191,476,114,2,105.6015854,301,7,301,7

ZLP20-17,Prot,94.89555556,29.507925,6.366666794,10.39999962,38.66170883,615.6715698,18.39999962,-8.5,26.89999962,13.39999962,-1.649999976,13.39999962,-1.649999976,712,142,2,89.51485443,390,11,390,11

ZLP20-21,mixed,97.22922222,31.205525,5.620833397,14.15833378,43.83384705,674.2755737,20.20000076,-12.10000038,32.30000305,13.51666641,-2.983333349,13.51666641,-2.983333349,508,111,3,96.42395782,302,12,302,12

ZLP20-23,mixed,101.2234167,30.89185556,6.262499809,14.39166641,44.5562439,646.244812,20.10000038,-12.19999981,32.29999924,13.5666666,-2.216666698,13.5666666,-2.216666698,629,135,2,97.65328979,357,8,357,8

ZLP20-24,mixed,101.9578889,30.01171389,9.233333588,10.94999981,38.69258118,631.2589722,22.10000038,-6.199999809,28.29999924,16.64999962,1.050000072,16.64999962,1.050000072,761,160,3,93.34908295,419,12,419,12

ZXX2020-HZ-SY,mixed,107.088221,32.755226,10.44999981,7.450000286,26.0489502,782.3391724,24.70000076,-3.900000095,28.60000038,19.03333282,0.533333242,19.96666718,0.533333242,939,174,8,75.10729218,469,30,427,30

