pop species lon lat bio1 bio2 bio3 bio4 bio5 bio6 bio7 bio8 bio9 bio10 bio11 bio12 bio13 bio14 bio15 bio16 bio17 bio18 bio19
LiuJQ-MZL-2013-361 Ne 124.1177778 50.43052778 5.80000019073486 14.6000003814697 26.2999992370605 1507.09997558594 32.2999992370605 -23.2999992370605 55.5999984741211 25.3999996185303 -16.2999992370605 24.1000003814697 -13.1999998092651 806 283 3 129.399993896484 584 13 584 13
LiuJQ-MZL-2013-398 Ne 118.1725556 42.10461111 10.6000003814697 11.8999996185303 26.5 1218.40002441406 33 -12.1000003814697 45.0999984741211 26.7999992370605 -1.79999995231628 25.3999996185303 -4.5 735 221 1 128.300003051758 547 7 547 7
LiuJQ-MZL-2013-422 mixed 111.7 40.93136111 9.39999961853027 12.5 27 1241.69995117188 32.0999984741211 -14.3999996185303 46.5 25 -9.19999980926514 24.5 -6.09999990463257 478 179 2 136 359 6 341 6
LiuJQ-MZL-2013-425 mixed 105.9248056 38.74583333 9.30000019073486 11.3000001907349 27.8999996185303 1100 29.6000003814697 -10.8000001907349 40.4000015258789 23.3999996185303 -6.5 22.6000003814697 -4.30000019073486 360 94 1 106.800003051758 242 4 215 4
LiuJQ-QTP-2013-102 rot 92.93527778 29.03555556 9.10000038146973 13.5 45.4000015258789 605.200012207031 23 -6.80000019073486 29.7999992370605 17 0.699999988079071 16.2000007629395 1.5 520 138 1 110.800003051758 341 7 341 7
LiuJQ-QTP-2013-196 rot 92.58152778 28.59327778 8 16.3999996185303 50.5 608 22.2999992370605 -10.1000003814697 32.4000015258789 15.8999996185303 0 15.3000001907349 0.600000023841858 426 116 1 110.400001525879 283 7 283 7
LiuJQ-QTP-2013-210 rot 97.47755556 28.78761111 11.8000001907349 11.3999996185303 46.4000015258789 535.299987792969 23.7000007629395 -0.800000011920929 24.5 18.6000003814697 5.59999990463257 18 5.19999980926514 1691 366 11 87.3000030517578 968 48 877 62
LJ rot 100.3666667 27.41666667 11.5 12.3999996185303 47.2000007629395 540.299987792969 22.7000007629395 -3.5 26.2000007629395 18.5 4.5 18 4.80000019073486 1304 290 8 81 688 40 688 45
LZQ-106 rot 102.3541667 27.69965 15.1999998092651 12.6000003814697 46.5 543.400024414062 26.8999996185303 -0.100000001490116 27 22.3999996185303 7.90000009536743 21.6000003814697 8.10000038146973 1518 375 7 99.3000030517578 886 24 886 24
LZQ-117 rot 101.2521667 27.96751667 15 13 48.5999984741211 533.400024414062 26.6000003814697 -0.100000001490116 26.7000007629395 21.7999992370605 8 21.2999992370605 8.10000038146973 1345 333 5 95.5999984741211 777 24 777 24
LZQ-81 rot 104.1082 26.73855 14.6999998092651 11.1000003814697 42.5 561.900024414062 26.6000003814697 0.400000005960464 26.2000007629395 22.2999992370605 6.90000009536743 21.5 7.40000009536743 1587 329 10 91.8000030517578 869 35 869 35
LZQ-98 rot 102.8304167 27.15027778 14.6000003814697 11.5 44.5999984741211 537.299987792969 25.7999992370605 0 25.7999992370605 21.7999992370605 7.30000019073486 21 7.69999980926514 1583 361 9 95.6999969482422 902 31 902 31
MaoKS-CX-2014-120 rot 101.75279 27.56695 13.6999998092651 12.5 48 525.099975585938 25 -1 26 20.6000003814697 6.80000019073486 20 7 1478 359 6 96.1999969482422 850 24 850 24
MaoKS-CX-2014-188 rot 96.6905 29.83564 6.69999980926514 12.8000001907349 44.4000015258789 609 20.7999992370605 -8.10000038146973 28.8999996185303 14.3999996185303 0.200000002980232 13.6999998092651 -0.899999976158142 1003 222 7 91 585 27 585 28
MaoKS-CX-2014-198 mixed 98.31017 29.56415 10.8000001907349 12.6999998092651 45.2000007629395 591.099975585938 24.2000007629395 -3.90000009536743 28.1000003814697 18.1000003814697 4.40000009536743 17.6000003814697 3.29999995231628 1021 233 5 90.5 593 25 593 26
